,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Wind speed (m/s),0.13568950941381744,-0.025736510229955992,0.04269802543718301,0.018750223022837464,0.01301831324798749,-0.03143412183607045,-0.005572991417353239,0.0008611212036977055,0.0067931466601892955,-0.013722536039397997,-0.0026545679685118133,-0.029735396074753246,-0.05066538155894291,0.027221926626503877,-0.011407142644715287,-0.012483551394462283,-0.017091794612879442,-0.003200009803263502,-0.015994849634159633,-0.011008296121434374,0.02193371052514957,-0.0031061835043785205,-0.0017980514534682824,0.013014978238839861,-0.019926816834425737,0.011788923245558391,-0.0036202158815927758,0.0033256908665002245,0.012295013544345269,0.0029318556838168696
"Wind speed, Standard deviation (m/s)",0.08270091499208643,0.10406592655385064,0.01759257725821936,-0.10743966454059202,-0.09535649581347544,0.16517785136775237,-0.03200742587686424,-0.021027882568302275,0.002413691509913671,-0.013946802242733309,-0.00032374477891397406,0.033204879366580786,0.0028648909630120427,-0.06559087695564417,-0.03333879889371378,-0.039856545236582795,0.01671706470449047,-0.016611991327103448,0.023862650770870325,-0.010017762001720575,0.012893700302426293,0.005691815076898132,0.0021985198611481163,0.06362626516448507,-0.0909552930021361,0.07652277942809241,-0.048248082194603935,-0.034744609233194064,-0.01322360809441882,-0.023134518214221536
"Wind speed, Minimum (m/s)",0.11546381980587027,-0.07363011044182832,0.04124752420329847,0.06270631285728595,0.050090236812211864,-0.10259132888883787,0.009168801665587114,0.011892652533066808,0.008004544107132854,-0.009524038894128208,-0.0031090879567202117,-0.051490633021208126,-0.0505043353344409,0.06236985216545901,0.00261951523568852,0.005567851497782002,-0.024606135402940627,0.004453137557881974,-0.020088612786046456,-0.008826971321466589,0.022882746765393147,-0.0080985421196589,-0.005042638680854044,-0.017914200511479392,0.027577891589598807,-0.02596820752636079,0.023678501709692816,0.02719449863813461,0.0267749198096712,0.015103327433206318
"Wind speed, Maximum (m/s)",0.13470776043677532,0.009738903426611434,0.04057705738488607,-0.01894961284610397,-0.021502075004583676,0.02430177884836443,-0.012897294957146851,-0.004314625431744475,0.0064868886652414,-0.015259161055150433,-0.0017289761278799533,-0.014591175899640874,-0.032216185392403895,0.002165375025581062,-0.01588727468122901,-0.01790750740527114,-0.006460926764315145,-0.006106909452980317,0.00014889675441551176,-0.0101861780122975,0.027917620024491357,-0.0011370041448165863,-0.0025633492331345493,0.026104407089731593,-0.04214828604402028,0.0325551246419865,-0.019197060180731758,-0.005897831345861746,0.007776950489420759,-0.0007896494535951761
Long Term Wind (m/s),0.02552785461611782,-0.14303952625883187,-0.11794299305430928,-0.004130137282849777,0.0028612822448595143,0.08952089448457023,0.022074341277688127,0.08792221121505252,-0.007910014202869922,-0.05694857968670419,-0.0005686168201551114,0.1200156686676978,0.009881207606083353,-0.005533543923985085,-0.1126847770150664,-0.05098245404389634,0.013330078569742082,-0.05304029071134537,-0.09384585716632633,0.06376134523169034,0.014300246094940197,0.006877062329380974,0.008277082246468014,-0.017772872669292325,-0.004569602232046235,-0.0607919068720292,0.0880054238407727,0.05843640486314759,-0.22366884622903965,0.33862533682646995
Wind speed Sensor 1 (m/s),0.13573345848488547,-0.014578036713155607,0.049064903547320016,0.01582706600683992,0.01262153052219539,-0.032275819204801715,-0.0077842443025217395,-0.006056079001214255,0.00621972860215486,-0.0112117512468679,-0.002000231745627794,-0.029606335320003938,-0.04749293995885798,0.028103086181157658,-0.00713430848251876,-0.014492974229698585,-0.017588055656272264,-0.004532071489039346,-0.018411234834792886,-0.009108204732152132,0.027133106495754566,-0.0026179275468526074,-0.002233343735944932,0.009080106219449505,-0.019710776034972996,0.016569867136672516,-0.0024859774334426536,0.0035780519128522023,0.021989339603307685,0.007758103829553302
"Wind speed Sensor 1, Standard deviation (m/s)",0.07942776850575677,0.1084594913212791,0.017901644147398366,-0.1142884644443517,-0.10105874648651167,0.18053467377963112,-0.03383408827085867,-0.022232479668975513,0.0032532401900858265,-0.015501530271597869,-0.0015757089602633327,0.036324220733584614,-0.0037525167206211574,-0.06779260884561336,-0.02874421622486654,-0.03899160605297676,0.009091514241009,-0.013466300136597095,0.016631578021533477,-0.012114720939342793,0.01365793488369163,0.006375801656962249,-2.394431314029638e-05,0.06678231307311569,-0.09508451572199429,0.0727424149280079,-0.05776436095414183,-0.03669538467051143,-0.012305219570600198,-0.02064482921212958
"Wind speed Sensor 1, Minimum (m/s)",0.11868537203653948,-0.06126298919361111,0.0485157635804932,0.0612879118479272,0.051765853874361334,-0.1099192760033546,0.006955846761272016,0.003968314475826308,0.006949624569110725,-0.006140865095842787,-0.0016825862666092518,-0.051489952819185114,-0.04646299029289008,0.06259037823295813,0.00483784308349379,0.0021130049331718366,-0.02281450174396188,0.0007608863303563652,-0.022076354419856035,-0.005421000093126467,0.02861376975280939,-0.009825041300457419,-0.003915225835767435,-0.02283727659350282,0.026406992913760113,-0.016818654913953433,0.030371814967889835,0.0277464975384892,0.03775429138438718,0.019245204465310334
"Wind speed Sensor 1, Maximum (m/s)",0.13436303501688973,0.01884328629089228,0.045827573912753154,-0.021926540786148585,-0.022204921319275317,0.02497783092948319,-0.015172634017122238,-0.011045784355556698,0.005606389740954912,-0.01324321329381048,-0.001704783303882386,-0.01178441301865011,-0.032778935606979975,0.0024582945111656235,-0.010922764808991244,-0.018941809686113642,-0.00931317425966778,-0.005748751442044356,-0.006443358703576249,-0.00850809041703246,0.03187903835430514,-0.0023640442333459945,-0.0030196694692864994,0.02328127403750968,-0.0436648705195232,0.03478324487816175,-0.01867726183604698,-0.007438849456861528,0.016347881828947846,0.002954427920476702
Wind speed Sensor 2 (m/s),0.13558862934365296,-0.02581376508146394,0.04313126179677499,0.01838684608738614,0.012696040448736234,-0.030612856983860126,-0.005813073980967101,0.0009087385157314394,0.007007630274986687,-0.013890542617345125,-0.0025429927899002086,-0.029281906163540705,-0.050073133798209324,0.02659381035331028,-0.011586121892808957,-0.011884328036682462,-0.016311357433102747,-0.004057077261155291,-0.015055989669536363,-0.010156221936441084,0.02184326739873721,-0.0011188513174258397,-0.0014911540579344955,0.012622515064240003,-0.01819043593212466,0.0106059261108081,-0.0037853917414212915,0.0035538185770497693,0.011755414220989746,0.0028388883367727828
"Wind speed Sensor 2, Standard deviation (m/s)",0.08267687496550867,0.10401750080027374,0.01812924256328246,-0.10715345016019967,-0.0974105210567729,0.16672890881018942,-0.03293506775019994,-0.021684121210588297,0.0024926167295069024,-0.015626175587838742,-0.0005075049802447107,0.0338632664376379,0.0024439010566108255,-0.06731954987612579,-0.030979184039291514,-0.041202842709352844,0.014633660650658159,-0.013949652830566145,0.02001833917169732,-0.006761302155342749,0.013552462907905682,0.005472469995065753,0.0022891114180915648,0.06636057668836673,-0.09459413129232316,0.07867058154534942,-0.05119088149487443,-0.040366225965052675,-0.014287783215353345,-0.021386337399689558
"Wind speed Sensor 2, Minimum (m/s)",0.11551863650417375,-0.07295431747767567,0.04166929072401757,0.06226207025445886,0.05144985520798527,-0.10262293235423396,0.008178853757073501,0.011125090725219625,0.008433592443239206,-0.009039109037206255,-0.0029858976658061268,-0.05195092583518754,-0.050356659797109585,0.06246053480800362,0.000449116766952945,0.0047729197910491294,-0.023712180187622556,0.0007652301752365115,-0.018653735563463836,-0.009280758393680547,0.02265848923373537,-0.006890982022802517,-0.0036700968163343086,-0.02208361997966557,0.03135992729760702,-0.026392765363665277,0.024613898067430376,0.03304088090791977,0.027270391952950168,0.01569529353362683
"Wind speed Sensor 2, Maximum (m/s)",0.13467437322309772,0.009738498407583526,0.0412272556303204,-0.019067510050555913,-0.021713299855829506,0.025175565226064255,-0.013517846800131905,-0.005707484164512784,0.0061405684581434805,-0.015865948952974163,-0.0016543512001166716,-0.012113394824290441,-0.03354571727161268,0.001763939292593067,-0.015855660519985593,-0.018164504485181976,-0.0064430870055794676,-0.006634828189449545,-0.0021303585169858974,-0.008761288325414673,0.027569571486853184,-0.0007782705831977897,-0.0014762015125708242,0.027385108885696237,-0.04106029367532686,0.030971625078404723,-0.019637960812364966,-0.007547272727549447,0.00842247455935409,-0.0006484856965042612
Density adjusted wind speed (m/s),0.13575949146372604,-0.03010691602582357,0.03899969142757813,0.019248202336522746,0.011803831075284784,-0.029779595849780075,-0.005522240408573464,0.002911522283949891,0.0067634004045917795,-0.01628011825776554,-0.003102445644500483,-0.028383664834669864,-0.05017671032771143,0.027376638411761328,-0.01243358343766518,-0.012504635504322459,-0.016798701347636225,-0.0030293154982121984,-0.01523906516792213,-0.012026915168075532,0.020112898967191956,-0.002960328453353065,-0.0016468755966100174,0.014174669198143336,-0.01918968006724403,0.009863836589318192,-0.004934008821078008,0.003318920350665139,0.008904562349507428,0.0024483167078863527
Wind direction (°),0.015447665969577896,-0.030850940104791343,0.04995108930915182,0.08612774710188739,0.29379560444960223,0.20063137795432445,-0.013330035121839182,-0.006456361779009823,0.004762583223380468,-0.01035706614374643,0.014432192207706605,0.06572686706189595,0.058609242769651015,-0.008873258161096076,0.019261015087912836,0.001265601635799779,-0.0007612935691784228,0.0009124798872912204,0.03255891175758141,0.007601633580296724,0.011995502361096338,0.0008465736524220122,-0.001225462979242713,-0.008707251892620074,-0.006153865841884515,0.010408597688644883,-0.0032894376618962454,-0.01946235947528542,0.009150259002208061,-0.007430076281493489
Nacelle position (°),0.014873176002915777,-0.031728057412434285,0.047798015020953,0.0881894339691121,0.2956617028017265,0.20152590912136087,-0.013437414623483936,-0.006965281828365644,0.003857267104571023,-0.0072802755184644685,0.012696941245904174,0.07363481548956768,0.014692020760703847,-0.028569672479493408,0.01836954739809188,0.00827723955190024,-0.007645299526968546,0.0009759337084831524,0.03187983292574802,0.006950711663603365,0.007523113221916483,0.0010071919079211698,-0.0008870016928777518,-0.009802532833928554,-0.003937127050153796,0.01297069195730339,-0.0034529484905622375,-0.02324742065155938,0.010193018739765025,-0.00904945250385994
"Wind direction, Standard deviation (°)",-0.010233033182328787,0.13712387776380214,-0.020037731732390103,-0.10550981178449768,-0.09366477453765738,0.15448576020611424,-0.039684176609783614,-0.04119584497325879,-0.034861849108779264,-0.040478923120386756,0.0077600311976497305,0.10218301927245235,0.1239779933111826,-0.027989146426175504,0.018080438727386447,0.024275564093766383,-0.057255809164788035,0.013504913002898057,-0.09458154912580753,-0.035014705273946276,0.06707937165714198,-0.017405209277833057,-0.008789719713758184,-0.004288403205211136,-0.006975219638822749,0.06003459906666661,-0.13869308464579724,-0.13433107896778934,0.000921369409586606,0.12193980699683159
"Wind direction, Minimum (°)",0.017934328635092735,-0.0347992458960828,0.05410354990609377,0.09180072993044766,0.2666616150989503,0.14789458853310639,-0.009512052121541407,-0.01002914745743122,0.004253610996705376,0.0017304431766591577,0.015725499348494792,0.04149592764577781,0.02221620975948748,-0.015180611379434161,0.009461560807795977,-0.010872200128125564,0.009941201512677349,-0.004281985935068948,0.05923444970534647,0.012310248971273918,-0.0009531942766110857,0.0035597327248123355,0.0040401194259765535,-0.01050564978650076,-0.00985168292243671,-0.006884268213011663,0.011651755857899931,-0.02868811822903597,-0.02856090349308263,-0.001052637690452933
"Wind direction, Maximum (°)",0.014165973317687562,-0.018849053734250165,0.04695656951750249,0.07721844790396178,0.2845010671598442,0.21181046382246446,-0.017713204175779835,-0.007786667665628924,0.0027584981070598452,-0.011058084912143634,0.013615717413602901,0.0661512205631073,0.06347291343144063,-0.008025395503383104,0.022986402055191812,0.0012052954858444431,-0.005283952960046856,0.003238756210407562,0.014687331321142347,-0.002340186633274677,0.014209299893326949,-0.0010529134447815197,-0.0020120374101723695,-0.00669192905750416,-0.005330932491882124,0.011322891112033523,-0.019457919344907086,-0.01950784215410875,0.016654901430573854,0.008090897270431795
"Nacelle position, Standard deviation (°)",0.007006344980691446,0.05381068479626324,0.021747018276910998,-0.030659151375691644,-0.0036700464303762274,0.0790489528478996,-0.015541247469482168,-0.005876864499882978,0.023327339178573818,-0.01813569502175187,0.007162379744916958,-0.06146422636852561,-0.008839016220583334,0.08230098790545554,-0.038026698041714574,-0.04541500426323161,-0.09167862711381539,0.011363563876388767,-0.236300844380831,-0.22952526305641846,0.3252861898043691,-0.14649146733692145,-0.0703894847037776,-0.14530121902974527,0.7144939547508249,0.16514782579549347,-0.2622560457457681,-0.17425294387570736,-0.125715208470857,-0.08573099455774214
"Nacelle position, Minimum (°)",0.01464794794786074,-0.03431404598303987,0.04679553937445372,0.08961720587035928,0.2942260655912237,0.19402609343802285,-0.013541356890345396,-0.007085219277268219,0.001400214748616296,-0.00599736086803887,0.012121470610076457,0.0756237710483878,0.01710969780073715,-0.033028661837682105,0.020225572730308117,0.009018049896036483,-0.0006386260882994821,-0.0010088880729030442,0.0484295349547368,0.022244233845106876,-0.013816034857883214,0.010527765482952318,0.004001922654575916,-0.0010252147375166207,-0.050105105975966506,0.0026946354205822226,0.015094879475058609,-0.01265267793700997,0.01648237848595141,-0.002770299206524718
"Nacelle position, Maximum (°)",0.01506652548313795,-0.029196184207133918,0.048629406179403006,0.08627331536605509,0.2944092792539434,0.20467485801294655,-0.01422782834462392,-0.006948754956562092,0.00482162270112458,-0.008125607297278174,0.013102419847382918,0.06940630370584899,0.016830236007497584,-0.023489783484172216,0.016441073951681817,0.005229650668009039,-0.010967059640083321,0.0006394990890940082,0.019628332588628894,-0.0038421095049516046,0.023705451574971337,-0.006022227496728306,-0.004280269896334246,-0.01615549400199963,0.030957340245088782,0.020003696810701882,-0.015960311478698253,-0.0307756245149192,0.004496327435537684,-0.012432227106675041
Vane position 1+2 (°),0.004459182599625983,0.010522035510318512,0.019272685645900352,-0.015418836689543755,-0.021821352579147565,0.001845975863380506,0.00031154987952464793,0.01494740244406021,0.02319230674353266,-0.02299495505009188,0.022436653853127875,-0.09639593519535816,0.6151223598362758,0.2603131162762585,0.01879767373388036,-0.10805969127102698,0.10882198536599508,-0.008671318074595286,0.008072669515381936,0.015039322786485121,0.04736383219867801,0.0014996718035968325,-0.0014473441545805078,0.009370624422082008,-0.029138258672112644,-0.019374580876421688,0.014675808880245125,0.038366831253220435,0.005992148029410799,-0.018169485673688958
Power (kW),0.1384092451922776,-0.0031248821714538483,-0.0031566661173769587,0.03007731170865621,0.00785857509713708,-0.0296816599704916,-0.012191668815060721,-0.013486443073810658,0.007727875989340387,-0.025980340542984384,-0.0012389471066817648,0.00720698863037339,0.0005001249019049026,0.03444337733574239,-0.016218514146945695,-0.009529219901268843,-0.01029721802646233,-0.002569961429290002,-0.006676266185982771,-0.013608271983495589,0.00563036116594115,-0.0018947679139145676,-0.0013979320867420035,0.02574775805075584,-0.010171536498167467,0.016057616648224193,0.008224352140324631,-0.00017151116990135606,0.002601320171242205,-0.00020359425349674408
Potential power default PC (kW),0.1366636472785791,0.0013179506021511222,0.0013399698076242122,0.03930127918522424,0.02051582371381221,-0.04562516585751462,-0.008463735153513206,-0.012085353639994263,0.006119720066544764,-0.01751499907226104,-0.0010191486014853868,0.0005875714325923875,-0.03904183517230325,0.036235893328053714,-0.015764799527164863,-0.010770247782766779,-0.017824424524604685,-0.002666667103421519,-0.01696811971757095,-0.01739789363755996,0.013758716039055874,-0.005033792022887319,-0.0028612862581009653,0.02145148413760608,-0.007529139037196625,0.01718736628322115,0.010297139937844403,0.002491028056551222,0.008214462196549532,0.0001316978200563701
"Power, Standard deviation (kW)",0.10955840489242122,0.08857244304132435,0.01664418515465837,-0.06751614265892852,-0.04876365534958406,0.1366030006430049,-0.0238440965010654,-0.014531151456031451,0.031981552322399694,0.009644510350692491,-0.002721840968225697,-0.04071984398002462,-0.035170882116248026,-0.02371708853889104,-0.06076048262556566,-0.108577816596104,0.0566050685348177,-0.030370517779590975,0.003410372544044693,-0.03464303509321445,0.011255483481773104,-0.004007520497343729,-0.0038635013479794006,0.04345296986322,0.011710352270083085,0.036691427331360715,0.08509992208819979,0.1143527567392074,0.03228560781354476,-0.027573817166067126
"Power, Minimum (kW)",0.12637961647625398,-0.05103854551456134,-0.008041599735929087,0.06804709614939801,0.03097323248322261,-0.09875729526830399,-0.004019273943820169,-0.009938422796716345,-0.0010773562839918338,-0.03064023271113272,-0.0001504937173693044,0.02543160112650808,0.016794712299377623,0.059496905658990656,0.01039188598028612,0.04936459380152358,-0.040409659091489525,0.01490845629132026,-0.007538219592195972,-0.0058662486899772465,0.009463852660202277,-0.0024803892560525086,0.0006489541428708317,0.009753339184022686,-0.01986122024638537,-0.0036675734471388055,-0.03348869642501729,-0.04692507814229226,-0.010787549119150974,0.013223002854135392
"Power, Maximum (kW)",0.1371704141951022,0.02313677680606395,0.008582116914042232,-0.007036840676470064,-0.01699930128768594,0.030264045556429055,-0.017157165239094833,-0.020254068071013775,0.02029667730302747,-0.006323857433859495,-3.716400736595085e-05,-0.0045768954314522325,-0.010221823747162455,0.01671881034787724,-0.027678361624325215,-0.03183220719416607,0.010771821545450144,-0.006438849709646616,-0.0004020466088871383,-0.021066812715328592,0.019627324514025574,-0.00344090887884288,-0.0026393025218814023,0.030164554113182085,-0.014816584478029679,0.022735294416728863,0.019575099609599717,0.04074870541856676,0.009227897666790066,-0.007647606403967347
Potential power learned PC (kW),0.13682858502485942,-0.00576360259742375,0.001252382225522291,0.037605486273717806,0.01821749251860355,-0.0413476893496404,-0.012158654530421587,-0.014683747252740803,0.007508969948134563,-0.025494045141334715,-0.0020188592374635393,-0.00030654843591919334,-0.039957221115944,0.0380946964129877,-0.017914548491964055,-0.012683076642688917,-0.019969294982477404,-0.00201133421032898,-0.017660370434884692,-0.02027257678585899,0.015233217699258478,-0.005100532052904363,-0.002421718592295825,0.020393699414344046,-0.010069540467240526,0.014802823883948747,0.011442341681903515,0.004299176504153263,-0.0012639463612414692,0.004968040639377766
Potential power reference turbines (kW),0.12298495662840664,0.022963210576646808,-0.016964452977255386,-0.02853055523605824,-0.08032180949158643,-0.014306492040090537,-0.005931339986191881,-0.034593248654291114,-0.0009289258931308116,-0.02304222947594796,0.006399840950456234,0.09637255794740379,0.04611937827181405,-0.07727927521304968,-0.00942427236094371,0.02826826402546151,0.011120923905153846,0.0020615031182335264,0.13463419447178643,0.04998063479970033,0.03208775804685064,-0.005350174880993465,0.0037276213082371515,-0.04366064135116443,0.04484887070876173,-0.003661892450331772,0.03643221480327902,-0.010398662484475518,-0.05893431102200988,0.016679027812692534
Cascading potential power (kW),0.13682858502485937,-0.005763602597423753,0.0012523822255222834,0.03760548627371782,0.018217492518603544,-0.041347689349640435,-0.01215865453042158,-0.014683747252740815,0.007508969948134515,-0.025494045141334718,-0.0020188592374636074,-0.0003065484359190985,-0.039957221115944026,0.038094696412987725,-0.017914548491964027,-0.012683076642688973,-0.019969294982477404,-0.0020113342103288967,-0.01766037043488464,-0.020272576785858865,0.015233217699258464,-0.005100532052904561,-0.0024217185922958684,0.020393699414344407,-0.010069540467240248,0.014802823883948879,0.011442341681903816,0.004299176504153082,-0.0012639463612412472,0.004968040639377863
Cascading potential power for performance (kW),0.13682858502485937,-0.0057636025974237585,0.001252382225522283,0.03760548627371783,0.018217492518603547,-0.0413476893496405,-0.012158654530421559,-0.014683747252740747,0.007508969948134586,-0.0254940451413347,-0.002018859237463544,-0.00030654843591918174,-0.03995722111594399,0.03809469641298784,-0.01791454849196404,-0.012683076642688945,-0.0199692949824775,-0.002011334210328619,-0.017660370434884914,-0.020272576785859003,0.015233217699258422,-0.005100532052904519,-0.002421718592295884,0.020393699414344213,-0.010069540467240373,0.014802823883948296,0.011442341681903612,0.004299176504153485,-0.0012639463612413027,0.004968040639378283
Potential power primary reference turbines (kW),0.13135145732288547,0.01640066440556025,-0.015342885050190398,-0.013149875307131288,-0.028948673129198563,-0.008310854847656403,-0.015033240418849137,-0.036331183655285,0.0076292833870470825,-0.027592044664657294,0.007057427500155904,0.0872466654697566,0.034769408426694216,-0.022140308197063717,-0.023339641334781818,0.04299635773970133,-0.0036131588757982933,0.015331591035901482,0.07060310635973527,-0.006418858360062618,0.06357063811854517,-0.017280851241243123,-0.012626423720495383,-0.0310674208156122,0.0509312361714875,-0.000974127877239217,0.0893732616804042,0.06995985818031436,0.027884201598470104,0.009954401220823111
Potential power secondary reference turbines (kW),0.10547736752255327,0.02537682361428013,-0.01662695106793576,-0.03605281125486471,-0.10642636491109077,-0.016382488015493135,0.0009661338329528934,-0.030485052219703143,-0.0064326007107898325,-0.018341906629549053,0.005835097269043474,0.0927711640353455,0.04857486695871343,-0.10651098828093405,3.247465795480628e-05,0.014795975913810877,0.019889203603481467,-0.006688460090024731,0.1641821610840222,0.08353332649792074,0.009001296061330412,0.002761831638590166,0.013980425023653889,-0.047190153528725146,0.03649200136966676,-0.004384221705967306,-0.0020965992428449015,-0.06326527495815483,-0.11346890801891711,0.01867365822184074
Turbine Power setpoint (kW),0.1314753563053858,0.013462968442044757,-0.015526772609092318,-0.007980907805964409,-0.021372688172660317,-0.00028799891973370605,-0.012463307444083825,-0.0456060014254873,0.030920271194366092,-0.02074026199243128,0.008498821429623993,0.0808704585194821,0.022019214773684386,0.012578887659572834,-0.023382463901827005,0.0758343610033741,-0.023784653445620516,0.024596124798469655,0.06203038700768816,-0.027149020506263742,0.08754700383187058,-0.019759911539783265,-0.015980609067744546,-0.021320736790179776,0.036781598493776116,-0.0034360308023957203,0.10013069699669741,0.10371044788003791,0.05138957124641604,0.0005898027897737416
Potential power MPC (kW),0.1366636472785791,0.0013179506021511272,0.0013399698076242157,0.03930127918522422,0.020515823713812182,-0.045625165857514575,-0.008463735153513164,-0.012085353639994207,0.006119720066544741,-0.017514999072261096,-0.0010191486014853345,0.0005875714325924172,-0.039041835172303224,0.03623589332805357,-0.01576479952716491,-0.01077024778276667,-0.01782442452460473,-0.00266666710342172,-0.016968119717570836,-0.01739789363756,0.013758716039056339,-0.005033792022887326,-0.002861286258100882,0.021451484137605586,-0.007529139037196615,0.01718736628322101,0.010297139937843723,0.0024910280565518493,0.008214462196550299,0.00013169782005595983
